0/500000, loss = 107.877, regloss = 1.07877, valid_loss = 106.147, time = 4.560, learning_rate=0.0001000000
400/500000, loss = -13.888, regloss = 4.41649, valid_loss = -20.271, time = 2.023, learning_rate=0.0001000000
420/500000, loss = -17.569, regloss = 0.70163, valid_loss = -20.679, time = 1.986, learning_rate=0.0001000000
440/500000, loss = -19.411, regloss = -2.67894, valid_loss = -25.198, time = 2.007, learning_rate=0.0001000000
460/500000, loss = -19.491, regloss = -5.85508, valid_loss = -26.815, time = 2.000, learning_rate=0.0001000000
480/500000, loss = -22.735, regloss = -8.76577, valid_loss = -29.430, time = 2.004, learning_rate=0.0001000000
500/500000, loss = -23.761, regloss = -11.42239, valid_loss = -31.258, time = 1.995, learning_rate=0.0001000000
520/500000, loss = -26.933, regloss = -13.99039, valid_loss = -31.191, time = 2.003, learning_rate=0.0001000000
540/500000, loss = -25.868, regloss = -16.21926, valid_loss = -32.158, time = 1.994, learning_rate=0.0001000000
560/500000, loss = -28.148, regloss = -18.21993, valid_loss = -35.245, time = 1.987, learning_rate=0.0001000000
580/500000, loss = -28.315, regloss = -20.00105, valid_loss = -33.778, time = 1.979, learning_rate=0.0001000000
600/500000, loss = -30.489, regloss = -21.67769, valid_loss = -34.696, time = 1.991, learning_rate=0.0001000000
620/500000, loss = -30.970, regloss = -23.29233, valid_loss = -36.823, time = 2.010, learning_rate=0.0001000000
640/500000, loss = -31.027, regloss = -24.73135, valid_loss = -37.142, time = 1.994, learning_rate=0.0001000000
660/500000, loss = -31.247, regloss = -25.98922, valid_loss = -38.789, time = 1.975, learning_rate=0.0001000000
680/500000, loss = -32.987, regloss = -27.07264, valid_loss = -37.166, time = 1.984, learning_rate=0.0001000000
700/500000, loss = -32.935, regloss = -28.08663, valid_loss = -36.873, time = 1.972, learning_rate=0.0001000000
720/500000, loss = -33.988, regloss = -29.00320, valid_loss = -39.480, time = 1.977, learning_rate=0.0001000000
740/500000, loss = -33.154, regloss = -29.76934, valid_loss = -41.158, time = 1.963, learning_rate=0.0001000000
760/500000, loss = -34.985, regloss = -30.51267, valid_loss = -38.960, time = 1.996, learning_rate=0.0001000000
780/500000, loss = -34.978, regloss = -31.42981, valid_loss = -43.336, time = 1.959, learning_rate=0.0001000000
800/500000, loss = -36.736, regloss = -32.32242, valid_loss = -41.471, time = 1.987, learning_rate=0.0001000000
820/500000, loss = -35.154, regloss = -33.01931, valid_loss = -42.055, time = 1.974, learning_rate=0.0001000000
840/500000, loss = -37.873, regloss = -33.65464, valid_loss = -37.829, time = 1.965, learning_rate=0.0001000000
860/500000, loss = -34.466, regloss = -34.12412, valid_loss = -40.164, time = 1.980, learning_rate=0.0001000000
880/500000, loss = -36.413, regloss = -34.63795, valid_loss = -44.003, time = 1.999, learning_rate=0.0001000000
900/500000, loss = -37.715, regloss = -35.11071, valid_loss = -42.391, time = 1.968, learning_rate=0.0001000000
920/500000, loss = -38.163, regloss = -35.71680, valid_loss = -42.754, time = 1.989, learning_rate=0.0001000000
940/500000, loss = -38.673, regloss = -36.06432, valid_loss = -42.644, time = 1.970, learning_rate=0.0001000000
960/500000, loss = -36.965, regloss = -36.50848, valid_loss = -43.362, time = 1.999, learning_rate=0.0001000000
980/500000, loss = -36.500, regloss = -36.51406, valid_loss = -42.009, time = 1.976, learning_rate=0.0001000000
1000/500000, loss = -39.593, regloss = -36.72163, valid_loss = -44.108, time = 1.962, learning_rate=0.0001000000
1020/500000, loss = -40.119, regloss = -37.21980, valid_loss = -39.915, time = 1.996, learning_rate=0.0001000000
1040/500000, loss = -40.637, regloss = -37.67901, valid_loss = -42.301, time = 1.998, learning_rate=0.0001000000
1060/500000, loss = -42.370, regloss = -38.19769, valid_loss = -44.043, time = 1.982, learning_rate=0.0001000000
1080/500000, loss = -40.720, regloss = -38.66951, valid_loss = -43.423, time = 2.008, learning_rate=0.0001000000
1100/500000, loss = -38.258, regloss = -38.95153, valid_loss = -41.185, time = 1.998, learning_rate=0.0001000000
1120/500000, loss = -41.191, regloss = -39.27893, valid_loss = -44.139, time = 1.988, learning_rate=0.0001000000
1140/500000, loss = -39.905, regloss = -39.77294, valid_loss = -46.900, time = 1.996, learning_rate=0.0001000000
1160/500000, loss = -40.568, regloss = -39.96703, valid_loss = -44.036, time = 2.004, learning_rate=0.0001000000
1180/500000, loss = -41.754, regloss = -40.21260, valid_loss = -46.521, time = 1.977, learning_rate=0.0001000000
1200/500000, loss = -43.197, regloss = -40.55344, valid_loss = -43.208, time = 1.985, learning_rate=0.0001000000
1220/500000, loss = -41.791, regloss = -40.65854, valid_loss = -43.650, time = 2.010, learning_rate=0.0001000000
1240/500000, loss = -40.681, regloss = -40.89379, valid_loss = -46.161, time = 2.005, learning_rate=0.0001000000
1260/500000, loss = -41.419, regloss = -41.15534, valid_loss = -45.819, time = 1.989, learning_rate=0.0001000000
1280/500000, loss = -43.974, regloss = -41.48897, valid_loss = -45.456, time = 2.003, learning_rate=0.0001000000
1300/500000, loss = -43.848, regloss = -41.92487, valid_loss = -43.951, time = 2.005, learning_rate=0.0001000000
1320/500000, loss = -45.242, regloss = -42.30474, valid_loss = -42.186, time = 1.975, learning_rate=0.0001000000
1340/500000, loss = -39.975, regloss = -42.46644, valid_loss = -43.431, time = 1.980, learning_rate=0.0001000000
1360/500000, loss = -42.860, regloss = -42.33480, valid_loss = -40.173, time = 1.999, learning_rate=0.0001000000
1380/500000, loss = -44.083, regloss = -42.43270, valid_loss = -46.453, time = 1.994, learning_rate=0.0001000000
1400/500000, loss = -44.614, regloss = -42.91500, valid_loss = -46.139, time = 1.986, learning_rate=0.0001000000
1420/500000, loss = -44.013, regloss = -43.24139, valid_loss = -45.341, time = 1.971, learning_rate=0.0001000000
1440/500000, loss = -43.655, regloss = -43.49414, valid_loss = -45.863, time = 1.996, learning_rate=0.0001000000
1460/500000, loss = -44.953, regloss = -43.71121, valid_loss = -45.540, time = 1.967, learning_rate=0.0001000000
1480/500000, loss = -44.678, regloss = -44.09519, valid_loss = -45.749, time = 1.989, learning_rate=0.0001000000
1500/500000, loss = -45.593, regloss = -44.05388, valid_loss = -42.587, time = 1.984, learning_rate=0.0001000000
1520/500000, loss = -44.067, regloss = -44.14757, valid_loss = -43.562, time = 2.008, learning_rate=0.0001000000
1540/500000, loss = -42.107, regloss = -44.19858, valid_loss = -44.368, time = 1.986, learning_rate=0.0001000000
1560/500000, loss = -47.199, regloss = -44.37701, valid_loss = -45.270, time = 1.972, learning_rate=0.0001000000
1580/500000, loss = -43.913, regloss = -44.42091, valid_loss = -42.151, time = 1.981, learning_rate=0.0001000000
1600/500000, loss = -45.612, regloss = -44.56326, valid_loss = -42.762, time = 1.996, learning_rate=0.0001000000
1620/500000, loss = -45.136, regloss = -44.69745, valid_loss = -45.616, time = 2.002, learning_rate=0.0001000000
1640/500000, loss = -44.561, regloss = -44.88528, valid_loss = -42.930, time = 1.969, learning_rate=0.0001000000
1660/500000, loss = -45.982, regloss = -45.18640, valid_loss = -41.747, time = 1.993, learning_rate=0.0001000000
1680/500000, loss = -46.137, regloss = -45.30230, valid_loss = -39.877, time = 1.975, learning_rate=0.0001000000
1700/500000, loss = -48.354, regloss = -45.60400, valid_loss = -43.755, time = 1.973, learning_rate=0.0001000000
1720/500000, loss = -47.011, regloss = -45.65409, valid_loss = -41.894, time = 1.965, learning_rate=0.0001000000
1740/500000, loss = -47.786, regloss = -45.89364, valid_loss = -43.376, time = 1.989, learning_rate=0.0001000000
1760/500000, loss = -46.122, regloss = -46.17127, valid_loss = -43.308, time = 1.990, learning_rate=0.0001000000
1520/500000, loss = -44.294, regloss = -6.47885, valid_loss = -45.750, time = 1.986, learning_rate=0.0000100000
1540/500000, loss = -48.367, regloss = -13.87095, valid_loss = -45.907, time = 2.006, learning_rate=0.0000100000
1560/500000, loss = -49.016, regloss = -20.21750, valid_loss = -44.964, time = 2.006, learning_rate=0.0000100000
1580/500000, loss = -49.389, regloss = -25.49978, valid_loss = -43.510, time = 2.002, learning_rate=0.0000100000
1600/500000, loss = -49.595, regloss = -29.84850, valid_loss = -43.157, time = 2.007, learning_rate=0.0000100000
1620/500000, loss = -49.553, regloss = -33.45288, valid_loss = -42.556, time = 1.988, learning_rate=0.0000100000
1640/500000, loss = -49.637, regloss = -36.41641, valid_loss = -41.998, time = 1.999, learning_rate=0.0000100000
1660/500000, loss = -49.905, regloss = -38.86901, valid_loss = -41.000, time = 1.993, learning_rate=0.0000100000
1680/500000, loss = -49.981, regloss = -40.89024, valid_loss = -40.130, time = 1.974, learning_rate=0.0000100000
1700/500000, loss = -50.329, regloss = -42.56527, valid_loss = -39.519, time = 2.000, learning_rate=0.0000100000
1720/500000, loss = -50.169, regloss = -43.96261, valid_loss = -38.441, time = 2.005, learning_rate=0.0000100000
1740/500000, loss = -50.141, regloss = -45.10311, valid_loss = -38.047, time = 1.992, learning_rate=0.0000100000
1760/500000, loss = -50.136, regloss = -46.05340, valid_loss = -36.980, time = 1.991, learning_rate=0.0000100000
1780/500000, loss = -50.462, regloss = -46.86589, valid_loss = -36.714, time = 1.984, learning_rate=0.0000100000
1800/500000, loss = -50.677, regloss = -47.54484, valid_loss = -36.524, time = 1.985, learning_rate=0.0000100000
1820/500000, loss = -50.809, regloss = -48.11703, valid_loss = -34.717, time = 2.006, learning_rate=0.0000100000
1840/500000, loss = -50.739, regloss = -48.60356, valid_loss = -34.327, time = 2.024, learning_rate=0.0000100000
1860/500000, loss = -50.933, regloss = -49.00885, valid_loss = -34.439, time = 2.000, learning_rate=0.0000100000
1880/500000, loss = -50.881, regloss = -49.36224, valid_loss = -33.466, time = 1.991, learning_rate=0.0000100000
1900/500000, loss = -51.208, regloss = -49.66835, valid_loss = -31.818, time = 1.997, learning_rate=0.0000100000
1920/500000, loss = -51.238, regloss = -49.93480, valid_loss = -32.022, time = 2.011, learning_rate=0.0000100000
1940/500000, loss = -51.104, regloss = -50.15269, valid_loss = -30.499, time = 2.005, learning_rate=0.0000100000
1960/500000, loss = -51.305, regloss = -50.34489, valid_loss = -30.873, time = 1.999, learning_rate=0.0000100000
1980/500000, loss = -51.462, regloss = -50.51976, valid_loss = -29.383, time = 1.989, learning_rate=0.0000100000
2000/500000, loss = -51.180, regloss = -50.67358, valid_loss = -28.680, time = 1.985, learning_rate=0.0000100000
2020/500000, loss = -51.406, regloss = -50.80736, valid_loss = -29.028, time = 1.990, learning_rate=0.0000100000
2040/500000, loss = -51.516, regloss = -50.92704, valid_loss = -26.943, time = 1.965, learning_rate=0.0000100000
2060/500000, loss = -51.581, regloss = -51.03205, valid_loss = -27.554, time = 1.971, learning_rate=0.0000100000
2080/500000, loss = -51.780, regloss = -51.12749, valid_loss = -26.967, time = 1.998, learning_rate=0.0000100000
2100/500000, loss = -51.255, regloss = -51.20846, valid_loss = -26.451, time = 1.990, learning_rate=0.0000100000
2120/500000, loss = -51.693, regloss = -51.29624, valid_loss = -25.657, time = 2.000, learning_rate=0.0000100000
2140/500000, loss = -51.834, regloss = -51.37204, valid_loss = -25.153, time = 2.003, learning_rate=0.0000100000
2160/500000, loss = -51.788, regloss = -51.44531, valid_loss = -24.041, time = 2.000, learning_rate=0.0000100000
2180/500000, loss = -51.826, regloss = -51.52710, valid_loss = -24.304, time = 1.972, learning_rate=0.0000100000
2200/500000, loss = -51.881, regloss = -51.59099, valid_loss = -23.713, time = 2.021, learning_rate=0.0000100000
2220/500000, loss = -51.940, regloss = -51.65283, valid_loss = -24.784, time = 1.998, learning_rate=0.0000100000
2240/500000, loss = -52.114, regloss = -51.72105, valid_loss = -23.064, time = 1.986, learning_rate=0.0000100000
2260/500000, loss = -52.254, regloss = -51.79908, valid_loss = -22.657, time = 2.007, learning_rate=0.0000100000
2280/500000, loss = -52.090, regloss = -51.87252, valid_loss = -20.803, time = 1.999, learning_rate=0.0000100000
2300/500000, loss = -52.130, regloss = -51.93038, valid_loss = -20.573, time = 1.973, learning_rate=0.0000100000
2320/500000, loss = -52.289, regloss = -51.99104, valid_loss = -20.519, time = 2.002, learning_rate=0.0000100000
2340/500000, loss = -52.300, regloss = -52.05001, valid_loss = -19.407, time = 2.000, learning_rate=0.0000100000
2360/500000, loss = -52.298, regloss = -52.09653, valid_loss = -19.717, time = 2.019, learning_rate=0.0000100000
2380/500000, loss = -52.301, regloss = -52.14992, valid_loss = -17.518, time = 2.009, learning_rate=0.0000100000
2400/500000, loss = -52.437, regloss = -52.20937, valid_loss = -17.837, time = 1.998, learning_rate=0.0000100000
2420/500000, loss = -52.646, regloss = -52.25945, valid_loss = -17.260, time = 2.005, learning_rate=0.0000100000
2440/500000, loss = -52.671, regloss = -52.31665, valid_loss = -16.069, time = 1.984, learning_rate=0.0000100000
2460/500000, loss = -52.500, regloss = -52.36725, valid_loss = -16.811, time = 2.010, learning_rate=0.0000100000
2480/500000, loss = -52.401, regloss = -52.41096, valid_loss = -17.656, time = 1.988, learning_rate=0.0000100000
2500/500000, loss = -52.806, regloss = -52.45846, valid_loss = -14.078, time = 1.932, learning_rate=0.0000100000
2520/500000, loss = -52.965, regloss = -52.52006, valid_loss = -14.059, time = 2.007, learning_rate=0.0000100000
2540/500000, loss = -52.901, regloss = -52.57251, valid_loss = -13.667, time = 2.001, learning_rate=0.0000100000
2560/500000, loss = -52.715, regloss = -52.61597, valid_loss = -13.340, time = 1.980, learning_rate=0.0000100000
2580/500000, loss = -52.949, regloss = -52.65648, valid_loss = -12.048, time = 2.017, learning_rate=0.0000100000
2600/500000, loss = -52.796, regloss = -52.68758, valid_loss = -13.379, time = 1.995, learning_rate=0.0000100000
2620/500000, loss = -52.677, regloss = -52.73040, valid_loss = -11.612, time = 1.979, learning_rate=0.0000100000
2640/500000, loss = -53.195, regloss = -52.79297, valid_loss = -11.148, time = 1.992, learning_rate=0.0000100000
2660/500000, loss = -52.815, regloss = -52.81080, valid_loss = -13.240, time = 2.001, learning_rate=0.0000100000
2680/500000, loss = -52.863, regloss = -52.85198, valid_loss = -12.645, time = 1.989, learning_rate=0.0000100000
2700/500000, loss = -53.095, regloss = -52.89994, valid_loss = -10.409, time = 1.990, learning_rate=0.0000100000
2720/500000, loss = -53.151, regloss = -52.93685, valid_loss = -9.136, time = 1.992, learning_rate=0.0000100000
2740/500000, loss = -52.946, regloss = -52.97758, valid_loss = -9.605, time = 1.975, learning_rate=0.0000100000
2760/500000, loss = -53.149, regloss = -53.01937, valid_loss = -9.395, time = 1.997, learning_rate=0.0000100000
2780/500000, loss = -53.250, regloss = -53.06125, valid_loss = -9.447, time = 2.005, learning_rate=0.0000100000
2800/500000, loss = -53.411, regloss = -53.10973, valid_loss = -7.879, time = 1.990, learning_rate=0.0000100000
2820/500000, loss = -53.359, regloss = -53.15625, valid_loss = -8.312, time = 2.007, learning_rate=0.0000100000
2840/500000, loss = -53.316, regloss = -53.19259, valid_loss = -8.392, time = 2.010, learning_rate=0.0000100000
2860/500000, loss = -53.393, regloss = -53.23407, valid_loss = -10.023, time = 1.967, learning_rate=0.0000100000
2880/500000, loss = -53.590, regloss = -53.26536, valid_loss = -7.985, time = 2.003, learning_rate=0.0000100000
2900/500000, loss = -53.336, regloss = -53.29401, valid_loss = -7.981, time = 2.005, learning_rate=0.0000100000
2920/500000, loss = -53.623, regloss = -53.32820, valid_loss = -7.302, time = 2.017, learning_rate=0.0000100000
2940/500000, loss = -53.583, regloss = -53.36663, valid_loss = -7.677, time = 2.003, learning_rate=0.0000100000
2960/500000, loss = -53.477, regloss = -53.41385, valid_loss = -6.735, time = 1.998, learning_rate=0.0000100000
2980/500000, loss = -53.649, regloss = -53.45182, valid_loss = -6.444, time = 2.012, learning_rate=0.0000100000
3000/500000, loss = -53.654, regloss = -53.48976, valid_loss = -6.654, time = 2.009, learning_rate=0.0000100000
3020/500000, loss = -53.727, regloss = -53.53791, valid_loss = -5.549, time = 1.999, learning_rate=0.0000100000
3040/500000, loss = -53.887, regloss = -53.58896, valid_loss = -5.283, time = 1.996, learning_rate=0.0000100000
3060/500000, loss = -53.676, regloss = -53.62428, valid_loss = -4.993, time = 1.984, learning_rate=0.0000100000
3080/500000, loss = -53.911, regloss = -53.65601, valid_loss = -5.090, time = 2.001, learning_rate=0.0000100000
3100/500000, loss = -53.764, regloss = -53.69279, valid_loss = -4.636, time = 1.995, learning_rate=0.0000100000
3120/500000, loss = -53.872, regloss = -53.74583, valid_loss = -3.160, time = 2.003, learning_rate=0.0000100000
3140/500000, loss = -54.135, regloss = -53.78639, valid_loss = -4.720, time = 2.004, learning_rate=0.0000100000
3160/500000, loss = -54.052, regloss = -53.81955, valid_loss = -3.763, time = 1.948, learning_rate=0.0000100000
3180/500000, loss = -53.809, regloss = -53.83979, valid_loss = -2.506, time = 1.980, learning_rate=0.0000100000
3200/500000, loss = -54.181, regloss = -53.86776, valid_loss = -2.608, time = 1.981, learning_rate=0.0000100000
3220/500000, loss = -54.346, regloss = -53.90356, valid_loss = -3.397, time = 1.987, learning_rate=0.0000100000
3240/500000, loss = -54.024, regloss = -53.93959, valid_loss = -3.728, time = 1.989, learning_rate=0.0000100000
3260/500000, loss = -54.152, regloss = -53.96933, valid_loss = -3.150, time = 1.992, learning_rate=0.0000100000
3280/500000, loss = -54.258, regloss = -54.00984, valid_loss = -2.124, time = 1.994, learning_rate=0.0000100000
3300/500000, loss = -53.724, regloss = -54.03011, valid_loss = -2.855, time = 1.988, learning_rate=0.0000100000
3320/500000, loss = -54.330, regloss = -54.07156, valid_loss = -4.568, time = 1.997, learning_rate=0.0000100000
3340/500000, loss = -54.073, regloss = -54.10280, valid_loss = -2.894, time = 1.977, learning_rate=0.0000100000
3360/500000, loss = -54.268, regloss = -54.13968, valid_loss = -2.611, time = 1.991, learning_rate=0.0000100000
3380/500000, loss = -54.264, regloss = -54.16464, valid_loss = -1.629, time = 2.007, learning_rate=0.0000100000
3400/500000, loss = -54.059, regloss = -54.19834, valid_loss = -2.151, time = 1.984, learning_rate=0.0000100000
3420/500000, loss = -54.655, regloss = -54.22965, valid_loss = -2.332, time = 2.003, learning_rate=0.0000100000
3440/500000, loss = -54.812, regloss = -54.25649, valid_loss = -0.328, time = 2.004, learning_rate=0.0000100000
3460/500000, loss = -54.444, regloss = -54.26600, valid_loss = -2.676, time = 1.964, learning_rate=0.0000100000
3480/500000, loss = -54.566, regloss = -54.29838, valid_loss = -1.164, time = 2.000, learning_rate=0.0000100000
3500/500000, loss = -54.384, regloss = -54.33865, valid_loss = -2.778, time = 1.975, learning_rate=0.0000100000
3520/500000, loss = -54.762, regloss = -54.37462, valid_loss = -0.993, time = 1.984, learning_rate=0.0000100000
3540/500000, loss = -54.749, regloss = -54.41841, valid_loss = -1.367, time = 1.997, learning_rate=0.0000100000
3560/500000, loss = -54.910, regloss = -54.46435, valid_loss = -0.045, time = 1.984, learning_rate=0.0000100000
3580/500000, loss = -54.674, regloss = -54.49528, valid_loss = -0.730, time = 1.986, learning_rate=0.0000100000
3600/500000, loss = -54.519, regloss = -54.52487, valid_loss = 0.896, time = 2.001, learning_rate=0.0000100000
3620/500000, loss = -54.774, regloss = -54.54212, valid_loss = 0.817, time = 2.005, learning_rate=0.0000100000
3640/500000, loss = -54.636, regloss = -54.57011, valid_loss = 0.332, time = 1.998, learning_rate=0.0000100000
3660/500000, loss = -54.684, regloss = -54.59759, valid_loss = -1.096, time = 1.982, learning_rate=0.0000100000
3680/500000, loss = -55.107, regloss = -54.61992, valid_loss = 2.690, time = 1.990, learning_rate=0.0000100000
3700/500000, loss = -55.154, regloss = -54.65836, valid_loss = 2.073, time = 2.019, learning_rate=0.0000100000
3720/500000, loss = -54.627, regloss = -54.69439, valid_loss = 0.993, time = 1.996, learning_rate=0.0000100000
3740/500000, loss = -55.191, regloss = -54.73039, valid_loss = 1.692, time = 2.013, learning_rate=0.0000100000
3760/500000, loss = -54.702, regloss = -54.74771, valid_loss = 0.639, time = 1.974, learning_rate=0.0000100000
3780/500000, loss = -54.929, regloss = -54.78489, valid_loss = 0.860, time = 1.976, learning_rate=0.0000100000
3800/500000, loss = -54.953, regloss = -54.81587, valid_loss = 1.148, time = 2.001, learning_rate=0.0000100000
3820/500000, loss = -54.953, regloss = -54.83632, valid_loss = 1.786, time = 1.996, learning_rate=0.0000100000
3840/500000, loss = -54.552, regloss = -54.85058, valid_loss = 0.951, time = 1.994, learning_rate=0.0000100000
3860/500000, loss = -55.141, regloss = -54.87956, valid_loss = 1.541, time = 1.983, learning_rate=0.0000100000
3880/500000, loss = -54.879, regloss = -54.91353, valid_loss = 3.152, time = 1.950, learning_rate=0.0000100000
3900/500000, loss = -55.146, regloss = -54.94205, valid_loss = 3.081, time = 2.005, learning_rate=0.0000100000
3920/500000, loss = -55.310, regloss = -54.98222, valid_loss = 2.225, time = 1.998, learning_rate=0.0000100000
3940/500000, loss = -55.218, regloss = -55.00712, valid_loss = 1.727, time = 2.004, learning_rate=0.0000100000
3960/500000, loss = -55.341, regloss = -55.04178, valid_loss = 2.709, time = 1.997, learning_rate=0.0000100000
3980/500000, loss = -55.217, regloss = -55.08179, valid_loss = 2.364, time = 2.011, learning_rate=0.0000100000
4000/500000, loss = -55.537, regloss = -55.11463, valid_loss = 4.124, time = 1.917, learning_rate=0.0000100000
4020/500000, loss = -55.374, regloss = -55.13799, valid_loss = 5.242, time = 1.980, learning_rate=0.0000100000
4040/500000, loss = -55.002, regloss = -55.16371, valid_loss = 2.460, time = 1.976, learning_rate=0.0000100000
4060/500000, loss = -55.676, regloss = -55.20259, valid_loss = 3.728, time = 1.978, learning_rate=0.0000100000
4080/500000, loss = -55.052, regloss = -55.23256, valid_loss = 3.044, time = 2.008, learning_rate=0.0000100000
4100/500000, loss = -55.341, regloss = -55.25779, valid_loss = 4.323, time = 1.981, learning_rate=0.0000100000
4120/500000, loss = -55.474, regloss = -55.29300, valid_loss = 4.553, time = 1.973, learning_rate=0.0000100000
4140/500000, loss = -55.538, regloss = -55.31850, valid_loss = 5.356, time = 2.006, learning_rate=0.0000100000
4160/500000, loss = -55.496, regloss = -55.34910, valid_loss = 5.428, time = 1.990, learning_rate=0.0000100000
4180/500000, loss = -55.534, regloss = -55.37111, valid_loss = 3.221, time = 2.009, learning_rate=0.0000100000
4200/500000, loss = -55.519, regloss = -55.40847, valid_loss = 3.277, time = 1.992, learning_rate=0.0000100000
4220/500000, loss = -55.685, regloss = -55.43333, valid_loss = 2.562, time = 1.987, learning_rate=0.0000100000
4240/500000, loss = -55.479, regloss = -55.46256, valid_loss = 3.709, time = 1.981, learning_rate=0.0000100000
4260/500000, loss = -55.729, regloss = -55.50079, valid_loss = 5.077, time = 2.004, learning_rate=0.0000100000
4280/500000, loss = -55.379, regloss = -55.51125, valid_loss = 4.263, time = 1.975, learning_rate=0.0000100000
4300/500000, loss = -55.814, regloss = -55.50680, valid_loss = 3.512, time = 1.995, learning_rate=0.0000100000
4320/500000, loss = -55.480, regloss = -55.52106, valid_loss = 4.368, time = 2.006, learning_rate=0.0000100000
4340/500000, loss = -55.747, regloss = -55.53453, valid_loss = 4.184, time = 1.986, learning_rate=0.0000100000
4360/500000, loss = -55.867, regloss = -55.57365, valid_loss = 3.206, time = 1.984, learning_rate=0.0000100000
4380/500000, loss = -56.106, regloss = -55.61356, valid_loss = 3.689, time = 2.004, learning_rate=0.0000100000
4400/500000, loss = -56.094, regloss = -55.64236, valid_loss = 4.077, time = 2.001, learning_rate=0.0000100000
4420/500000, loss = -55.972, regloss = -55.67152, valid_loss = 4.968, time = 2.003, learning_rate=0.0000100000
4440/500000, loss = -55.998, regloss = -55.71195, valid_loss = 6.332, time = 2.013, learning_rate=0.0000100000
4460/500000, loss = -55.422, regloss = -55.72525, valid_loss = 3.375, time = 1.987, learning_rate=0.0000100000
4480/500000, loss = -55.719, regloss = -55.74512, valid_loss = 4.489, time = 1.959, learning_rate=0.0000100000
4500/500000, loss = -55.655, regloss = -55.75018, valid_loss = 4.197, time = 1.988, learning_rate=0.0000100000
4520/500000, loss = -55.955, regloss = -55.78365, valid_loss = 6.375, time = 1.999, learning_rate=0.0000100000
4540/500000, loss = -56.391, regloss = -55.81434, valid_loss = 6.399, time = 2.004, learning_rate=0.0000100000
4560/500000, loss = -55.856, regloss = -55.83604, valid_loss = 5.196, time = 2.022, learning_rate=0.0000100000
4580/500000, loss = -55.645, regloss = -55.86106, valid_loss = 4.558, time = 1.987, learning_rate=0.0000100000
4600/500000, loss = -55.977, regloss = -55.88681, valid_loss = 6.659, time = 1.991, learning_rate=0.0000100000
4620/500000, loss = -56.410, regloss = -55.92291, valid_loss = 6.733, time = 1.998, learning_rate=0.0000100000
4640/500000, loss = -56.039, regloss = -55.94444, valid_loss = 6.523, time = 2.010, learning_rate=0.0000100000
4660/500000, loss = -56.246, regloss = -55.96932, valid_loss = 7.703, time = 1.997, learning_rate=0.0000100000
4680/500000, loss = -56.137, regloss = -55.97158, valid_loss = 5.766, time = 1.967, learning_rate=0.0000100000
4700/500000, loss = -56.602, regloss = -56.00004, valid_loss = 8.089, time = 2.001, learning_rate=0.0000100000
4720/500000, loss = -55.930, regloss = -56.02909, valid_loss = 5.408, time = 2.010, learning_rate=0.0000100000
4740/500000, loss = -56.074, regloss = -56.04500, valid_loss = 7.327, time = 1.969, learning_rate=0.0000100000
4760/500000, loss = -56.271, regloss = -56.09317, valid_loss = 7.206, time = 2.018, learning_rate=0.0000100000
4780/500000, loss = -56.216, regloss = -56.12277, valid_loss = 7.085, time = 1.990, learning_rate=0.0000100000
4800/500000, loss = -56.609, regloss = -56.13253, valid_loss = 6.983, time = 1.981, learning_rate=0.0000100000
